year,value
1960,2258.872
1961,2335.879
1962,2563.233
1963,2533.897
1964,2273.54
1965,2658.575
1966,2662.242
1967,2948.268
1968,3241.628
1969,4319.726
1970,3597.327
1971,3197.624
1972,3542.322
1973,3689.002
1974,2933.6
1975,2896.93
1976,2805.255
1977,2918.932
1978,3450.647
1979,3828.348
1980,3410.31
1981,4033.7
1982,4499.409
1983,4884.444
1984,3883.353
1985,3956.693
1986,3703.67
1987,4074.037
1988,3490.984
1989,3483.65
1990,3840.0
1991,3990.0
1992,5250.0
1993,5090.0
1994,5770.0
1995,5820.0
1996,8360.0
1997,8340.0
1998,8610.0
1999,9500.0
2000,10930.0
2001,10850.0
2002,11390.0003433228
2003,12409.9998474121
2004,12869.9998855591
2005,13979.9995422363
2006,12399.9996185303
2007,13590.0001525879
2008,12810.0004196167
2009,12289.999961853
2010,13069.9996948242
2011,15420.0000762939
2012,16850.0003814697
2013,14479.9995422363
2014,17600.0003814697
2015,20360.0006103516
2016,21930.0003051758
2017,23360.0006103516
2018,21690.0005340576
2019,23780.0006866455
