,country_code,country_name,year,value
0,CAF,Central African Republic,1960,88.008
1,CAF,Central African Republic,1961,88.008
2,CAF,Central African Republic,1962,73.34
3,CAF,Central African Republic,1963,73.34
4,CAF,Central African Republic,1964,73.34
5,CAF,Central African Republic,1965,88.008
6,CAF,Central African Republic,1966,84.341
7,CAF,Central African Republic,1967,91.675
8,CAF,Central African Republic,1968,183.35
9,CAF,Central African Republic,1969,187.017
10,CAF,Central African Republic,1970,209.019
11,CAF,Central African Republic,1971,183.35
12,CAF,Central African Republic,1972,168.682
13,CAF,Central African Republic,1973,161.348
14,CAF,Central African Republic,1974,113.677
15,CAF,Central African Republic,1975,102.676
16,CAF,Central African Republic,1976,128.345
17,CAF,Central African Republic,1977,128.345
18,CAF,Central African Republic,1978,146.68
19,CAF,Central African Republic,1979,102.676
20,CAF,Central African Republic,1980,106.343
21,CAF,Central African Republic,1981,135.679
22,CAF,Central African Republic,1982,143.013
23,CAF,Central African Republic,1983,146.68
24,CAF,Central African Republic,1984,150.347
25,CAF,Central African Republic,1985,161.348
26,CAF,Central African Republic,1986,161.348
27,CAF,Central African Republic,1987,260.357
28,CAF,Central African Republic,1988,231.021
29,CAF,Central African Republic,1989,249.356
30,CAF,Central African Republic,1990,150.0
31,CAF,Central African Republic,1991,140.0
32,CAF,Central African Republic,1992,150.0
33,CAF,Central African Republic,1993,160.0
34,CAF,Central African Republic,1994,160.0
35,CAF,Central African Republic,1995,160.0
36,CAF,Central African Republic,1996,170.0
37,CAF,Central African Republic,1997,170.0
38,CAF,Central African Republic,1998,230.0
39,CAF,Central African Republic,1999,240.0
40,CAF,Central African Republic,2000,240.0
41,CAF,Central African Republic,2001,250.0
42,CAF,Central African Republic,2002,250.0
43,CAF,Central African Republic,2003,230.000004172325
44,CAF,Central African Republic,2004,230.000004172325
45,CAF,Central African Republic,2005,219.999998807907
46,CAF,Central African Republic,2006,230.000004172325
47,CAF,Central African Republic,2007,239.999994635582
48,CAF,Central African Republic,2008,170.000001788139
49,CAF,Central African Republic,2009,170.000001788139
50,CAF,Central African Republic,2010,170.000001788139
51,CAF,Central African Republic,2011,189.999997615814
52,CAF,Central African Republic,2012,200.000002980232
53,CAF,Central African Republic,2013,119.999997317791
54,CAF,Central African Republic,2014,129.999995231628
55,CAF,Central African Republic,2015,189.999997615814
56,CAF,Central African Republic,2016,209.999993443489
57,CAF,Central African Republic,2017,219.999998807907
58,CAF,Central African Republic,2018,230.000004172325
59,CAF,Central African Republic,2019,239.999994635582
60,CEB,Central Europe and the Baltics,1960,477930.983561213
61,CEB,Central Europe and the Baltics,1961,503661.023370562
62,CEB,Central Europe and the Baltics,1962,539156.571814832
63,CEB,Central Europe and the Baltics,1963,583019.435263968
64,CEB,Central Europe and the Baltics,1964,626292.435775424
65,CEB,Central Europe and the Baltics,1965,645746.989331124
66,CEB,Central Europe and the Baltics,1966,666310.266741907
67,CEB,Central Europe and the Baltics,1967,693187.262263411
68,CEB,Central Europe and the Baltics,1968,740157.829523101
69,CEB,Central Europe and the Baltics,1969,795495.711787657
70,CEB,Central Europe and the Baltics,1970,827812.554401097
71,CEB,Central Europe and the Baltics,1971,852925.422803429
72,CEB,Central Europe and the Baltics,1972,890638.418957866
73,CEB,Central Europe and the Baltics,1973,927881.709439706
74,CEB,Central Europe and the Baltics,1974,957970.180955245
75,CEB,Central Europe and the Baltics,1975,1022139.6222034
76,CEB,Central Europe and the Baltics,1976,1082704.34549906
77,CEB,Central Europe and the Baltics,1977,1126889.44888637
78,CEB,Central Europe and the Baltics,1978,1184919.94622756
79,CEB,Central Europe and the Baltics,1979,1197410.84010232
80,CEB,Central Europe and the Baltics,1980,1229574.75528747
81,CEB,Central Europe and the Baltics,1981,1154563.85171252
82,CEB,Central Europe and the Baltics,1982,1184067.92198424
83,CEB,Central Europe and the Baltics,1983,1195116.928678
84,CEB,Central Europe and the Baltics,1984,1193598.57778287
85,CEB,Central Europe and the Baltics,1985,1215199.57702846
86,CEB,Central Europe and the Baltics,1986,1237084.58435515
87,CEB,Central Europe and the Baltics,1987,1271351.25167925
88,CEB,Central Europe and the Baltics,1988,1227739.62614802
89,CEB,Central Europe and the Baltics,1989,1192664.62813154
90,CEB,Central Europe and the Baltics,1990,989030.0
91,CEB,Central Europe and the Baltics,1991,913110.0
92,CEB,Central Europe and the Baltics,1992,848800.0
93,CEB,Central Europe and the Baltics,1993,826270.0
94,CEB,Central Europe and the Baltics,1994,804150.0
95,CEB,Central Europe and the Baltics,1995,809670.0
